,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cost,cuisine 1,cuisine 2,cuisine 3,cuisine 4,cuisine 5,cuisine 6,cuisine 7,cuisine 8,t1,t2,l1,l2,l3,l4,l5,l6,l7,location
391,"Shriniwas Veg
                                    ",,Waad,3.4,346.0,3.8,0.0,500,Fast Food,Chinese,South Indian,North Indian,,,,,,,,,,,,,,Waad
392,"Shriniwas Veg
                                    ",,Hinjawadi,3.6634499896458945,,3.8,0.0,500,Fast Food,Chinese,South Indian,North Indian,,,,,,,,,,,,,,Hinjawadi
393,"Shriniwas Veg
                                    ",,othrud,3.4,92.0,3.8,0.0,400,Beverages,Fast Food,South Indian,North Indian,Chinese,,,,,,,,,,,,,othrud
394,"Shriniwas Veg
                                    ",,haradi,2.9,124.0,3.8,0.0,400,Fast Food,Chinese,South Indian,North Indian,,,,,,,,,,,,,,haradi
395,"Satguru's Punjabi Rasoi
                                    ","['Casual Dining', 'Bar']",Ravet,4.3,2035.0,3.3,7153.0,1300,Chinese,Mughlai,Malwani,North Indian,,,,,Casual Dining,Bar,Dal Mahani, Tandoori Chicen, Butter Chicen, Biryani, Moctails, Dal Buhara, Masala Papad,Ravet
396,"Satguru's Punjabi Rasoi
                                    ",['Casual Dining'],"Destination Centre, Magarpatta",4.2,4013.0,3.8,53.0,1000,Chinese,Mughlai,North Indian,,,,,,Casual Dining,,Dal Mahani, Butter Chicen, Biryani, Tandoori Chicen, Roti, Punjabi Lassi, Panneer Butter Masala, Magarpatta
397,"Satguru's Punjabi Rasoi
                                    ",['Casual Dining'],haradi,4.0,1161.0,3.5,20.0,1000,Chinese,Mughlai,North Indian,,,,,,Casual Dining,,Lassi, Dal Mahani, Thali, Butter Chicen, Paratha, Tandoori Chicen, Roti,haradi
398,"Satguru's Punjabi Rasoi
                                    ",['Casual Dining'],Chinchwad,4.3,862.0,3.5,4989.0,1000,Chinese,Mughlai,North Indian,,,,,,Casual Dining,,Dal Mahani, Moctails, Biryani, Laccha Paratha, Cheese Corn Balls, Coctails, Multani Mushrooms,Chinchwad
399,"Satguru's Punjabi Rasoi
                                    ","['Casual Dining', 'Bar']",Hinjawadi,4.2,1804.0,3.8,21700.0,1000,Chinese,Mughlai,North Indian,,,,,,Casual Dining,Bar,Biryani, Dal Mahani, Tandoori Chicen, Paneer Lababdar, Naan, Moctails, Butter Chicen,Hinjawadi
400,"Satguru's Punjabi Rasoi
                                    ",,Hadapsar,3.6634499896458945,,3.8,0.0,500,Chinese,Mughlai,North Indian,,,,,,,,,,,,,,,Hadapsar
401,"Satguru's Punjabi Rasoi Express
                                    ",,Hinjawadi,3.7,159.0,3.8,0.0,300,Chinese,North Indian,,,,,,,,,,,,,,,,Hinjawadi
402,"Satguru's Punjabi Rasoi Express
                                    ",,haradi,3.8,26.0,3.8,0.0,300,Chinese,North Indian,,,,,,,,,,,,,,,,haradi
403,"Mr. Vandal
                                    ","['Bar', 'Casual Dining']",Baner,4.0,542.0,3.8,0.0,1300,North Indian,Italian,Bar Food,,,,,,Bar,Casual Dining,Fries, Pasta, Burgers, Coctails, Nachos, Beer, Churros,Baner
404,"White Rabbit
                                    ","['Bar', 'Casual Dining']",Viman Nagar,3.9,152.0,3.8,0.0,1300,North Indian,Italian,,,,,,,Bar,Casual Dining,Pizza, Coctails, Pasta, Tia, Risotto, Beer, Veg Platter,Viman Nagar
405,"Piatto Dessert Studio || Cafe
                                    ",['Café'],alyani Nagar,4.3,281.0,4.2,155.0,1300,Desserts,Baery,Cafe,,,,,,Café,,Macaroon, Coffee, Hot Chocolate, Salad, Chocolate Dessert, Cuban Sandwich, Tiramisu,alyani Nagar
406,"Blu Grass
                                    ",['Casual Dining'],Hinjawadi,4.1,343.0,3.8,0.0,1300,Italian,Continental,North Indian,,,,,,Casual Dining,,Moctails, Salad, Spring Roll,,,,,Hinjawadi
407,"La Fiesta itchen & Bar
                                    ",['Casual Dining'],Viman Nagar,3.7,88.0,3.8,0.0,1300,Asian,North Indian,Mexican,,,,,,Casual Dining,,,,,,,,,Viman Nagar
408,"Open Window Cafe Bistro
                                    ","['Casual Dining', 'Bar']",Model Colony,4.1,864.0,3.9,355.0,1300,Thai,Salad,Continental,Italian,,,,,Casual Dining,Bar,Coctails, Pasta, Pizza, Nachos, Burgers, Moctails, it at Shae,Model Colony
409,"alinga Restaurant & Bar
                                    ","['Casual Dining', 'Bar']","alinga, Erandwane",4.0,448.0,4.1,188.0,1300,Chinese,Seafood,Mangalorean,North Indian,,,,,Casual Dining,Bar,Sea Food, Appam, Butter Chicen, Tandoori Chicen, Fish, Neer Dosa, Andhra Chicen, Erandwane
410,"Son Of A Gun
                                    ",['Bar'],Baner,4.0,314.0,3.8,0.0,1300,Bar Food,North Indian,Mexican,Italian,,,,,Bar,,Pasta, Chicen Tia Pizza, Moctails, Thin Crust Pizza, Coctails, Jalapeno Poppers, Butter Chicen,Baner
411,"Mad House Grill
                                    ",['Casual Dining'],oregaon Par,4.2,913.0,3.8,481.0,1300,Salad,Stea,Continental,,,,,,Casual Dining,,Mashed Potato, Salad, Beer, Cheesy Chicen, Beef Stea, Chicen Pasta, Chicen Stea,oregaon Par
412,"Greens & Olives
                                    ",['Casual Dining'],Aundh,4.5,1992.0,4.0,2070.0,1300,Healthy Food,Salad,North Indian,Italian,,,,,Casual Dining,,Pasta, Pizza, Nachos, Ravioli, Salad, Moctails, Garlic Bread,Aundh
413,"Murphies
                                    ","['Pub', 'Casual Dining']",oregaon Par,4.3,1375.0,3.8,426.0,1300,Continental,Finger Food,Beverages,Healthy Food,Stea,European,Salad,,Pub,Casual Dining,Beer, Coctails, Nachos, Fries, Jaced Potato, Chicen Wings, iwi Ice Tea,oregaon Par
414,"Ruen Thai
                                    ",['Casual Dining'],oregaon Par,3.9,112.0,3.9,65.0,1300,Beverages,Sushi,Thai,Asian,,,,,Casual Dining,,Sushi, Pad Thai Noodle, Tea, Miso Soup, Thai Green Curry, Thai Red Curry, Fish,oregaon Par
415,"Hippie@Heart
                                    ","['Bar', 'Casual Dining']",Baner,3.9,132.0,3.8,0.0,1300,European,Finger Food,North Indian,Italian,Continental,,,,Bar,Casual Dining,Pizza, Pasta, Fritters, Chicen Popcorn,,,,Baner
416,"Shreeman
                                    ","['Casual Dining', 'Bar']",othrud,3.3,19.0,3.9,31.0,1300,Chinese,Malwani,North Indian,,,,,,Casual Dining,Bar,,,,,,,,othrud
417,"Tool Bar
                                    ","['Bar', 'Casual Dining']",Waad,4.2,684.0,3.8,0.0,1300,Finger Food,Pizza,Continental,,,,,,Bar,Casual Dining,Coctails, Nachos, Pizza, Pasta, Veg Platter, Tia, Cheese Poppers,Waad
418,"Suryama  Hotel Raviraj
                                    ","['Casual Dining', 'Bar']",Deccan Gymhana,3.5,95.0,4.1,216.0,1300,Continental,Chinese,North Indian,,,,,,Casual Dining,Bar,Butter Chicen, Masala Tia, Chicen Dum Biryani,,,,,Deccan Gymhana
419,"Masa Masa Seafood itchen
                                    ","['Casual Dining', 'Bar']",haradi,4.3,462.0,4.0,654.0,1300,Seafood,onan,North Indian,Biryani,,,,,Casual Dining,Bar,Sea Food, oliwada Prawn, Biryani, Mojito, Lobster, Goan Fish Curry, Paan Shot,haradi
420,"The Asian Box Resto Bar
                                    ",['Casual Dining'],Baner,4.3,465.0,4.1,492.0,1300,Singaporean,Indonesian,Japanese,Thai,Malaysian,Chinese,,,Casual Dining,,hao Suey, hau Suey, Noodle, Coctails, Sushi, Chicen ung Pao, Dumplings,Baner
421,"Hidden Place  The Hangout
                                    ","['Bar', 'Casual Dining']",Dhole Patil Road,4.3,1486.0,3.8,0.0,1300,Seafood,Finger Food,North Indian,Continental,,,,,Bar,Casual Dining,Beer, Buffalo Wings, Nachos, Pasta, Chicen Wings, Coctails, Cheesy Chicen,Dhole Patil Road
422,"Peacoc Restaurant
                                    ","['Casual Dining', 'Bar']",Shurawar Peth,3.4,52.0,3.9,35.0,1300,Mughlai,Seafood,North Indian,Chinese,,,,,Casual Dining,Bar,,,,,,,,Shurawar Peth
423,"Bar Stories
                                    ",['Bar'],CityONE Mall,4.3,998.0,3.5,256.0,1300,Pizza,Chinese,Momos,Finger Food,,,,,Bar,,Coctails, Nachos, Nacho Supreme, Moctails, Masala Peanuts, Thin Crust Pizza, Pasta,CityONE Mall
424,"Zeleb
                                    ","['Bar', 'Casual Dining']",Mundhwa,2.5,197.0,3.8,0.0,1300,Bar Food,,,,,,,,Bar,Casual Dining,Coctails,,,,,,,Mundhwa
425,"Raw Cube
                                    ","['Bar', 'Casual Dining']",Bhosari,3.5,57.0,3.8,0.0,1300,Mughlai,Bar Food,North Indian,,,,,,Bar,Casual Dining,Biryani,,,,,,,Bhosari
426,"Tahela
                                    ","['Bar', 'Casual Dining']",Pimple Nilah,4.1,329.0,3.8,0.0,1300,Desserts,Pizza,Seafood,Chinese,Asian,Continental,North Indian,,Bar,Casual Dining,Tia, Stuffed Mushroom, Butter Chicen, Cheese Balls, Pasta, Brownie Chocolate, Fish Finger,Pimple Nilah
427,"Chohi Dhani
                                    ",['Casual Dining'],Wagholi,2.4,330.0,3.8,0.0,1300,Rajasthani,,,,,,,,Casual Dining,,Jalebi, Dal Bati, Churma, Rajasthani Thali, adhi, Jaljeera, achori,Wagholi
428,"Blue Parrot
                                    ","['Casual Dining', 'Bar']",Baner,3.7,90.0,3.8,0.0,1300,Mexican,Italian,Chinese,North Indian,,,,,Casual Dining,Bar,Coctails,,,,,,,Baner
429,"Mmyra Lounge
                                    ",['Lounge'],FC Road,3.9,479.0,3.8,0.0,1300,Continental,Chinese,North Indian,,,,,,Lounge,,Mojito, Coctails, Fries, Bbq Chicen Pizza, Paneer Tia,,,FC Road
430,"RC  The Lounge Bar
                                    ","['Bar', 'Casual Dining']",Bhugaon,3.6,66.0,3.8,0.0,1300,ebab,Continental,Chinese,North Indian,,,,,Bar,Casual Dining,Chicen Biryani, Moctails, Butter Naan, Gajar Halwa, Lemon Coriander Soup,,,Bhugaon
431,"TUB  The Unlimited Bar
                                    ","['Casual Dining', 'Bar']",Baner,4.1,339.0,3.8,0.0,1300,Burger,Italian,Salad,Asian,Continental,North Indian,,,Casual Dining,Bar,Fries, Beer, Masala Peanuts, Biryani, Pasta, Long Island Iced Tea, eema Pav,Baner
432,"Upside Down
                                    ","['Bar', 'Casual Dining']",Ghorpadi,3.6,168.0,3.8,0.0,1300,Italian,North Indian,Chinese,Continental,,,,,Bar,Casual Dining,Pizza, Achari Paneer Tia, Pasta Alfredo, Burmese Curry, Jer Chicen, Mojito, Double a Meetha,Ghorpadi
433,"Drinx Exchange
                                    ","['Bar', 'Casual Dining']",haradi,4.0,301.0,3.8,0.0,1300,Desserts,North Indian,Chinese,Mexican,Italian,,,,Bar,Casual Dining,Coctails,,,,,,,haradi
434,"Dino and Duggy's
                                    ",['Casual Dining'],Viman Nagar,4.3,349.0,3.5,1157.0,1300,Continental,Italian,Chinese,North Indian,,,,,Casual Dining,,Moctails, Burgers, Thali, Noodle, Pasta, Fish, Fried Rice,Viman Nagar
435,"Bluecherry Family Resto & Bar
                                    ","['Bar', 'Casual Dining']",Wagholi,4.0,88.0,3.3,211.0,1300,Chinese,Thai,North Indian,,,,,,Bar,Casual Dining,Tandoori Lollipop,,,,,,,Wagholi
436,"Coastal Feast
                                    ",['Casual Dining'],Viman Nagar,3.6,15.0,3.8,0.0,1300,Maharashtrian,Malwani,Seafood,,,,,,Casual Dining,,,,,,,,,Viman Nagar
437,"Dolchii
                                    ",['Casual Dining'],Camp Area,3.4,250.0,3.8,0.0,1300,Continental,Chinese,North Indian,,,,,,Casual Dining,,Moctails, Mojito, Tia, Chole Bhature, Paneer Lahori, Naan, Jeera Rice,Camp Area
438,"Suvarna Plaza
                                    ","['Casual Dining', 'Bar']",Hadapsar,2.9,45.0,3.8,0.0,1300,Finger Food,Bar Food,Continental,Chinese,North Indian,,,,Casual Dining,Bar,,,,,,,,Hadapsar
439,"Saffron Resto Bar
                                    ","['Casual Dining', 'Bar']"," Hotel Satish Executive, Waad",2.7,18.0,3.8,0.0,1300,Continental,Chinese,North Indian,South Indian,,,,,Casual Dining,Bar,,,,,,,, Waad
440,"Step Inn Resto Bar
                                    ","['Casual Dining', 'Bar']",FC Road,3.0,99.0,3.8,0.0,1300,Biryani,Chinese,North Indian,,,,,,Casual Dining,Bar,Chicen Biryani, Beer, Chicen ebab,,,,,FC Road
441,"Shreshta
                                    ","['Casual Dining', 'Bar']",Baner,3.6,22.0,3.8,0.0,1300,Seafood,Mughlai,Chinese,North Indian,,,,,Casual Dining,Bar,,,,,,,,Baner
442,"Oriental Fusion Restaurant  Ramee Grand Hotel
                                    ","['Casual Dining', 'Bar']","The Ramee Grand Hotel, Shivaji Nagar",4.2,471.0,3.8,0.0,1300,Continental,North Indian,Japanese,Chinese,,,,,Casual Dining,Bar,Salad, Fish, Sushi, Lunch Buffet, Pie, Chaat, Pasta, Shivaji Nagar
443,"Blacout 9  Grand Exotica Business Hotel
                                    ","['Casual Dining', 'Bar']",Grand Exotica Business Hotel,4.1,294.0,3.8,0.0,1300,BBQ,Fast Food,Italian,Chinese,Modern Indian,,,,Casual Dining,Bar,Pizza, Moctails, Chicen Biryani, Tandoori Chicen,,,,Grand Exotica Business Hotel
444,"Gurdjieff's Resto Bar
                                    ","['Bar', 'Casual Dining']",oregaon Par,3.0,36.0,3.8,0.0,1300,Beverages,Chinese,North Indian,,,,,,Bar,Casual Dining,,,,,,,,oregaon Par
445,"H2O Sports Bar & Rooftop
                                    ","['Bar', 'Casual Dining']",Hinjawadi,3.7,42.0,3.8,0.0,1300,Mughlai,Chinese,North Indian,,,,,,Bar,Casual Dining,,,,,,,,Hinjawadi
446,"Cafe Bay Leaf  Ramada Plaza
                                    ",['Casual Dining'],"Ramada Plaza, Hinjewadi",3.3,224.0,3.8,0.0,1300,Continental,Thai,Japanese,Chinese,North Indian,,,,Casual Dining,,Salad, Club Sandwich, Pasta, Clear Soup, Dal Tada, Chicen Tia, Vegetable Biryani, Hinjewadi
447,"Slounge  Lemon Tree Hotel
                                    ","['Casual Dining', 'Bar']",Viman Nagar,3.4,6.0,3.8,0.0,1300,Finger Food,Bar Food,,,,,,,Casual Dining,Bar,,,,,,,,Viman Nagar
448,"Dress Circle Bar
                                    ","['Casual Dining', 'Bar']","ohinoor Executive, Deccan Gymhana",3.7,5.0,3.8,0.0,1300,Continental,Chinese,North Indian,,,,,,Casual Dining,Bar,,,,,,,, Deccan Gymhana
449,"The Glass House  Hotel Eastin Easy
                                    ",['Casual Dining'],Talegaon,3.7,29.0,3.8,0.0,1300,Italian,Thai,Chinese,Continental,North Indian,,,,Casual Dining,,,,,,,,,Talegaon
450,"Casablanca Lounge Bar
                                    ",['Lounge'],"Villa Casa, Pimple Gurav",3.9,76.0,3.8,0.0,1300,Bar Food,Chinese,Continental,Asian,North Indian,,,,Lounge,,Beer,,,,,,, Pimple Gurav
451,"Bageecha Resort
                                    ",['Casual Dining'],Old MumbaiPune Highway,2.6,25.0,3.8,0.0,1300,Biryani,Seafood,Chinese,North Indian,,,,,Casual Dining,,,,,,,,,Old MumbaiPune Highway
452,"Vintage
                                    ","['Bar', 'Casual Dining']","Hotel Hindusthan International, Viman Nagar",3.5,47.0,3.8,0.0,1300,Finger Food,,,,,,,,Bar,Casual Dining,,,,,,,, Viman Nagar
453,"Swag
                                    ","['Bar', 'Casual Dining']",othrud,3.0,18.0,3.8,0.0,1300,Fast Food,Continental,Seafood,ebab,North Indian,Asian,Finger Food,,Bar,Casual Dining,,,,,,,,othrud
454,"Nirvana
                                    ","['Casual Dining', 'Bar']",Baner,3.9,178.0,3.9,103.0,1300,Biryani,Mughlai,Continental,Asian,North Indian,,,,Casual Dining,Bar,Paneer Satay, Thali, Tandoori Chicen, Tawa Chicen, Spring Roll, Paneer Tia Masala, Thread Paneer,Baner
455,"Republic
                                    ","['Casual Dining', 'Bar']",Mundhwa,3.4,15.0,3.8,0.0,1300,North Indian,Italian,Continental,,,,,,Casual Dining,Bar,,,,,,,,Mundhwa
456,"Silver Lining
                                    ",['Lounge'],"Triose PLaza, Lonavala",2.7,8.0,3.8,0.0,1300,Finger Food,,,,,,,,Lounge,,,,,,,,, Lonavala
457,"Opera
                                    ",['Casual Dining'],"ohinoor Executive, Deccan Gymhana",3.6,56.0,3.8,0.0,1300,Continental,Chinese,North Indian,,,,,,Casual Dining,,Butter Chicen,,,,,,, Deccan Gymhana
458,"United21 Hotel
                                    ",['Casual Dining'],Pancard Clubs,3.1,48.0,3.8,0.0,1300,Chinese,North Indian,,,,,,,Casual Dining,,,,,,,,,Pancard Clubs
459,"Olive & Spices
                                    ",['Casual Dining'],Lonavala,3.6,4.0,3.8,0.0,1300,Continental,Chinese,North Indian,,,,,,Casual Dining,,,,,,,,,Lonavala
460,"Sentosa Highway
                                    ","['Casual Dining', 'Bar']",Ravet,4.2,242.0,3.4,1621.0,1300,Chinese,North Indian,,,,,,,Casual Dining,Bar,Poha, Biryani, Sandwich, Coctails, Dal Fry, Butter Chicen, Malai ulfi,Ravet
461,"Bacstage
                                    ","['Lounge', 'Casual Dining']","Phoenix Maret City, Viman Nagar",4.1,791.0,3.8,0.0,1250,Continental,Chinese,North Indian,,,,,,Lounge,Casual Dining,Pizza, Pasta, Masala Fries, Coctails, Chicen Tia, Crispy Chicen, Beer, Viman Nagar
462,"La Gustosa
                                    ",['Casual Dining'],othrud,4.5,1855.0,4.3,251.0,1200,Italian,,,,,,,,Casual Dining,,Pasta, Pizza, Garlic Bread, Chocolate Cheesecae, Lasagne, Tiramisu, Hot Chocolate,othrud
463,"Rahul Restaurant & Bar
                                    ",['Casual Dining'],Aundh,4.1,793.0,3.7,299.0,1200,Chinese,North Indian,South Indian,Seafood,,,,,Casual Dining,,Sea Food, Butter Chicen, Moctails, Tandoori Chicen, Chicen Biryani, Patra Fish, Coctails,Aundh
464,"Grandmama's Cafe
                                    ",['Casual Dining'],oregaon Par,4.0,1646.0,4.0,339.0,1200,Pizza,Fast Food,Desserts,Continental,,,,,Casual Dining,,Hot Chocolate, Pizza, Pasta, Coctails, Salad, Nachos, Chicen Croquettes,oregaon Par
465,"Chinese Room
                                    ",['Casual Dining'],East Street,4.3,850.0,4.5,768.0,1200,Bar Food,Seafood,Asian,Thai,Chinese,,,,Casual Dining,,Noodle, Coctails, Haa Noodles, Brownie, Vanilla Ice Cream, Roasted Por, Sweet Corn Soup,East Street
466,"Fish Curry Rice
                                    ",['Casual Dining'],Law College Road,4.5,970.0,3.9,2841.0,1200,Maharashtrian,Malwani,Goan,Seafood,,,,,Casual Dining,,Sea Food, Fish Thali, Surmai Fry, Bombil Fry, Fish Curry Rice, Prawn Curry, Malwani Food,Law College Road
467,"Bungalow 424
                                    ","['Casual Dining', 'Bar']",othrud,4.1,172.0,3.6,32.0,1200,Continental,Fast Food,North Indian,,,,,,Casual Dining,Bar,,,,,,,,othrud
468,"RocoMamas
                                    ",['Casual Dining'],haradi,4.3,460.0,3.6,621.0,1200,Burger,American,,,,,,,Casual Dining,,Burgers, Mutton Burger, Nachos, Por Ribs, Coctails, Peri Peri Chicen Wings, Paneer Lababdar,haradi
469,"Tea Villa Cafe
                                    ",['Café'],Baner,4.2,908.0,3.9,326.0,1200,Desserts,Mediterranean,Continental,Cafe,,,,,Café,,Tea, Waffles, Coffee, Pizza, Pasta, Maggi, Fries,Baner
470,"Taaareef
                                    ",['Casual Dining'],Aundh,4.4,2006.0,3.9,4051.0,1200,Lucnowi,Mughlai,North Indian,Biryani,,,,,Casual Dining,,Chicen Biryani, Tandoori Chicen, Subz Dum Biryani, Paya Soup, Malai Phirni, Butter Chicen, Galauti ebab,Aundh
471,"wality Family Resto
                                    ",['Casual Dining'],Hadapsar,3.9,217.0,4.1,687.0,1200,Seafood,Chinese,South Indian,North Indian,,,,,Casual Dining,,Neer Dosa, Sea Food, Bamboo Biryani, Butter Chicen, Fried Fish, Moctails, Mutton Roganjosh,Hadapsar
472,"Yin Yang
                                    ",['Casual Dining'],othrud,4.5,413.0,4.3,719.0,1200,Indonesian,Burmese,Japanese,Malaysian,Thai,,,,Casual Dining,,Sushi, Dumplings, hau Suey, Thai Green Curry, Chicen Noodle, Asparagus Soup, Sea Food,othrud
473,"La Sicilia Bistro & Patisserie
                                    ",['Casual Dining'],othrud,4.3,654.0,3.3,759.0,1200,Beverages,Desserts,Mexican,Italian,Continental,Salad,,,Casual Dining,,Pizza, Pasta, Peri Peri Chicen, Minestrone Soup, Ravioli, Peri Peri Fries, Panna Cotta,othrud
474,"Suonmoi
                                    ",['Casual Dining'],Dhole Patil Road,4.2,350.0,3.8,0.0,1200,Thai,Chinese,,,,,,,Casual Dining,,Seafood Soup, Crab Soup, Manchow Soup, Jasmine Tea, Schezwan Rice, Sweet Corn Chicen Soup, Fried Rice Chicen,Dhole Patil Road
475,"NH 37 Dhaba
                                    ",['Casual Dining'],Pune University,4.2,2204.0,4.2,2292.0,1200,Salad,Bengali,North Indian,Chinese,,,,,Casual Dining,,Tandoori Chicen, Brownie, Moctails, Fish, Butter Chicen, Naan, Tia,Pune University
476,"Janjira Sea Food Resto
                                    ",['Casual Dining'],Sadashiv Peth,4.1,320.0,3.9,207.0,1200,Seafood,Chinese,Maharashtrian,North Indian,,,,,Casual Dining,,Sea Food, Fish, Coctails, Biryani, Tandoori Chicen, Noodle, Surmai Fry,Sadashiv Peth
477,"QabilETareef
                                    ","['Casual Dining', 'Bar']",Pimple Saudagar,4.4,2579.0,4.0,3154.0,1200,Mughlai,Seafood,North Indian,Biryani,,,,,Casual Dining,Bar,Chicen Biryani, Moctails, Rabri, Butter Chicen, Punjabi Dum Aloo, Lahori Chicen, Vegetable Biryani,Pimple Saudagar
478,"Tea Villa Cafe
                                    ",['Café'],Baner,4.2,908.0,3.9,326.0,1200,Desserts,Mediterranean,Continental,Cafe,,,,,Café,,Tea, Waffles, Coffee, Pizza, Pasta, Maggi, Fries,Baner
479,"Tea Villa Cafe
                                    ","['Café', 'Casual Dining']",Viman Nagar,4.3,1629.0,3.9,1946.0,1200,Desserts,Mediterranean,Continental,Cafe,,,,,Café,Casual Dining,Waffles, Pizza, Coffee, Fries, Pasta, Masala Tea, Burgers,Viman Nagar
480,"Tea Villa Cafe
                                    ",['Café'],Waad,4.1,277.0,3.8,237.0,1200,Desserts,Mediterranean,Continental,Cafe,,,,,Café,,Fries, Coffee, Waffles, Masala Tea, Pasta, Mini Burger, Burgers,Waad
481,"Tea Villa Cafe
                                    ","['Café', 'Casual Dining']",FC Road,3.6,224.0,4.0,145.0,1200,Desserts,Mediterranean,Continental,Cafe,,,,,Café,Casual Dining,Waffles, Pizza, Tea, Fries, Nachos, Pasta, Pancaes,FC Road
482,"The Basil Dec
                                    ",['Casual Dining'],Bibvewadi,4.2,483.0,3.9,57.0,1200,Beverages,Italian,Continental,North Indian,,,,,Casual Dining,,Pesto Paneer, Pasta, Zucchini Soup, Jeera Rice, Zucchini Suppa, Vegetarian, Salad,Bibvewadi
483,"Taaareef
                                    ",['Casual Dining'],Bavdhan,4.1,221.0,3.8,327.0,1200,Biryani,Mughlai,North Indian,,,,,,Casual Dining,,Biryani, Tandoori Chicen,,,,,,Bavdhan
484,"360 Degree  The Rooftop Restaurant & Bar
                                    ",['Casual Dining'],"BhosaleShinde Arcade, JM Road",3.4,226.0,3.8,0.0,1200,North Indian,Finger Food,Continental,Asian,,,,,Casual Dining,,Chicen Drum, Masala Papad, Dum ebab,,,,, JM Road
485,"Chinese Room Oriental
                                    ",['Casual Dining'],Erandwane,3.5,410.0,4.1,387.0,1200,Seafood,Asian,Chinese,,,,,,Casual Dining,,Spring Roll, Manchow Soup, Dumplings, Saiwoo Chicen, Brownie, Mixed Fried Rice, Haa Noodles,Erandwane
486,"The Fernery  Hotel Aurora Towers
                                    ",['Casual Dining'],"Hotel Aurora Towers, Camp",3.3,68.0,3.8,0.0,1200,Continental,North Indian,,,,,,,Casual Dining,,Paratha, Coffee, Sandwich, Pasta,,,, Camp
487,"Crazy Noodles
                                    ",['Casual Dining'],"Phoenix Maret City, Viman Nagar",4.5,777.0,3.8,0.0,1200,Salad,Japanese,Thai,Chinese,,,,,Casual Dining,,Thupa, Momos, Crispy Noodle Salad, Soya Ramen, Moctails, Pepper Chicen, Chilli Garlic Noodles, Viman Nagar
488,"Spice Garden Family Resto & Bar
                                    ","['Casual Dining', 'Bar']",Bibvewadi,3.6,112.0,3.9,695.0,1200,Beverages,Mughlai,Chinese,North Indian,,,,,Casual Dining,Bar,Chicen Handi,,,,,,,Bibvewadi
489,"Pergola itchen & Bar
                                    ",['Casual Dining'],alyani Nagar,4.1,173.0,3.8,0.0,1200,Beverages,Continental,Fast Food,North Indian,Italian,,,,Casual Dining,,,,,,,,,alyani Nagar
490,"Sheetal Da Dhaba
                                    ","['Casual Dining', 'Bar']",Lonavala,4.0,597.0,3.8,0.0,1200,Seafood,Chinese,Mughlai,North Indian,,,,,Casual Dining,Bar,Masala Papad, Butter Chicen, Biryani, Naan, Buttermil, Dal ichadi, Dal Mahani,Lonavala
491,"Asia itchen By Mainland China
                                    ",['Casual Dining'],"City Point, Dhole Patil Road",4.5,586.0,4.2,276.0,1200,Sushi,Chinese,Asian,Beverages,,,,,Casual Dining,,Sushi, Dumplings, Mango Pudding, Coctails, Noodle, Fish, Burnt Garlic Rice, Dhole Patil Road
492,"Ahilyadevi's Thali
                                    ",['Casual Dining'],atraj,4.4,725.0,3.9,29.0,1200,Maharashtrian,,,,,,,,Casual Dining,,Mutton Thali, Raan, Biryani, Jalebi, Paya Soup, Chicen Thali, Mutton Curry,atraj
493,"Green9 Restaurant
                                    ",['Casual Dining'],Wagholi,4.1,523.0,3.3,2463.0,1200,Fast Food,Salad,Italian,Mughlai,Chinese,North Indian,,,Casual Dining,,Paneer Angara, Noodle, Dal Fry, Manchurian, Vegetable Biryani, Tandoori Chicen, Pasta,Wagholi
494,"Level 5 Bistro and Bar
                                    ","['Casual Dining', 'Bar']",Erandwane,4.8,551.0,3.8,0.0,1200,American,Italian,European,,,,,,Casual Dining,Bar,Pizza, Burgers, Coctails, Salad, Chocolate Bomb, Mushroom Soup, Sea Food,Erandwane
495,"Chinjabi
                                    ",['Casual Dining'],Bavdhan,3.9,303.0,4.0,808.0,1200,Beverages,Chinese,North Indian,,,,,,Casual Dining,,Sea Food, Singapore Noodles, Lemon Coriander Soup, Manchurian, Chicen Rosali ebab, Sweet Corn Chicen Soup, Noodle Soup,Bavdhan
496,"Eden Court Restaurant & Bar
                                    ","['Casual Dining', 'Bar']",Model Colony,3.0,182.0,4.3,497.0,1200,Finger Food,Bar Food,Ice Cream,Biryani,Continental,Mughlai,Chinese,North Indian,Casual Dining,Bar,Naan, Chicen Biryani, Tandoori Chicen, Fries, Crispy Chicen,,,Model Colony
497,"Farmaaish Lounge & Bar
                                    ","['Lounge', 'Casual Dining']",Viman Nagar,4.2,640.0,3.3,287.0,1200,Chinese,European,North Indian,Asian,Continental,,,,Lounge,Casual Dining,Biryani, Veg Fritters, Fries, Beer, Masala Peanuts, Coctails, Gunpowder Prawn,Viman Nagar
498,"D Palace
                                    ","['Casual Dining', 'Bar']",Bavdhan,3.9,379.0,4.0,1067.0,1200,Mughlai,Seafood,Chinese,North Indian,,,,,Casual Dining,Bar,Sea Food, Beer, Coctails, Butter Chicen, Biryani, Multani Mushrooms, Chicen Lasagne,Bavdhan
499,"Shorba Family Restaurant
                                    ",['Casual Dining'],Sinhgad Road,3.9,527.0,4.1,595.0,1200,Continental,Asian,Chinese,North Indian,,,,,Casual Dining,,Fish, Neer Dosa, Masala Papad, Chicen Biryani, Moctails, Coctails, Manchow Soup,Sinhgad Road
